param_index,posterior_mean,true_value,abs_error
0,1.8665616336067379,2.0,0.13343836639326212
1,1.198920654040151,0.8,0.39892065404015087
2,1.1308599121604515,0.9,0.23085991216045143
3,2.1317866252586852,1.7,0.4317866252586853
